City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
lebu,CL,-37.6167,-73.65,51.17,89,89,4.5,1627234730
new norfolk,AU,-42.7826,147.0587,42.3,71,74,3.0,1627234731
mwense,ZM,-10.3845,28.698,62.4,43,6,6.87,1627234844
sao joao da barra,BR,-21.6403,-41.0511,77.09,60,0,14.61,1627234845
salym,RU,60.0625,71.4789,55.54,94,100,7.52,1627234845
hermanus,ZA,-34.4187,19.2345,51.8,55,100,7.9,1627234696
klaksvik,FO,62.2266,-6.589,52.72,96,100,12.55,1627234819
vaini,TO,-21.2,-175.2,68.16,94,55,0.0,1627234846
lavrentiya,RU,65.5833,-171.0,44.06,99,100,4.99,1627234846
port alfred,ZA,-33.5906,26.891,61.03,49,27,11.43,1627234741
puro,PH,12.4841,123.3827,82.8,77,94,20.65,1627234847
bredasdorp,ZA,-34.5322,20.0403,51.28,87,100,5.75,1627234604
severo-kurilsk,RU,50.6789,156.125,53.69,97,82,3.36,1627234748
lamar,US,33.6668,-95.5836,97.36,56,1,4.61,1627234847
victoria point,AU,-27.5833,153.3,50.92,76,35,1.99,1627234847
saint anthony,US,45.0205,-93.218,91.26,30,1,3.0,1627234848
giyani,ZA,-23.3025,30.7187,57.27,51,57,3.51,1627234848
yellowknife,CA,62.456,-114.3525,59.56,51,20,4.61,1627234659
marzuq,YE,14.4,46.4667,74.17,77,23,9.75,1627234849
makakilo city,US,21.3469,-158.0858,79.12,77,20,6.91,1627234849
ushuaia,AR,-54.8,-68.3,35.26,93,90,26.46,1627234849
sept-iles,CA,50.2001,-66.3821,69.26,80,75,13.0,1627234801
ajdabiya,LY,30.7554,20.2263,80.51,68,0,20.11,1627234850
grand gaube,MU,-20.0064,57.6608,72.0,60,0,10.0,1627234850
dingle,PH,10.9995,122.6711,76.84,91,73,8.41,1627234850
tilichiki,RU,60.4667,166.1,52.36,98,100,4.07,1627234850
rikitea,PF,-23.1203,-134.9692,70.34,65,97,3.91,1627234700
torbay,CA,47.6666,-52.7314,61.29,91,90,9.22,1627234730
